CPU Name, Rating, Rank, Num Thread Execution units, Avg Speed, Stock Speed, Samples
Intel Celeron 1333MHz,290,1433,1,1327,1333,3,
Intel Celeron 1300MHz,289,1434,1,851,1300,26,
Mobile AMD Athlon XP-M 1500+,289,1435,1,927,1333,2,
Mobile AMD Athlon XP-M (LV) 1500+,288,1436,1,1326,0,2,
686 Gen,287,1437,1,827,-1,204,
Intel Pentium III 1200MHz,285,1438,1,750,1200,8,
Mobile Intel Celeron 1200MHz,284,1439,1,898,1200,8,
Mobile Intel Pentium III - M 1133MHz,284,1440,1,183,1133,4,
Intel Celeron 2.50GHz,284,1441,1,2498,2500,103,
Intel Pentium 4 2.26GHz,283,1442,1,2261,2260,222,
Intel Celeron 2.40GHz,282,1443,1,2403,2400,1022,
Mobile Intel Pentium III - M 1333MHz,282,1444,1,1213,1333,8,
AMD Athlon XP 1500,282,1445,1,1325,0,2,
Intel Celeron 1133MHz,281,1446,1,566,1133,2,
Mobile Intel Celeron 2.50GHz,281,1447,1,2495,2500,13,
Intel Pentium M 1200MHz,281,1448,1,614,1200,36,
Intel Celeron M 1200MHz,280,1449,1,794,1200,3,
Intel Xeon 2.00GHz,280,1450,1,1987,2000,13,
Intel Core Solo U1400 @ 1.20GHz,280,1451,1,1108,1200,13,
AMD Athlon 4,279,1452,1,1373,-1,9,
AMD Athlon MP 1800+,279,1453,1,1515,1533,6,
AMD Athlon XP 1500+,278,1454,1,1300,1333,52,
Intel Pentium 4 2.20GHz,278,1455,1,2197,2200,180,
Mobile Intel Pentium 4 2.30GHz,278,1456,1,2137,2300,10,
VIA C7-M 6300MHz,277,1457,1,1665,6300,13,
Mobile Intel Pentium 4 - M 2.40GHz,277,1458,1,2237,2400,46,
AMD Athlon Prosowwor,277,1459,1,1395,-1,2,
Mobile Intel Pentium III - M 1200MHz,276,1460,1,766,1200,26,
Intel Pentium III Mobile 1200MHz,275,1461,1,821,1200,33,
Intel Celeron 2.26GHz,274,1462,1,2278,2260,97,
Intel Pentium III family 1266MHz,270,1463,1,1261,1266,2,
VIA Esther 1500MHz,269,1464,1,1498,1500,9,
AMD Duron,267,1465,1,1289,-1,278,
Mobile Intel Celeron 2.40GHz,265,1466,1,2389,2400,34,
Mobile AMD Sempron 2100+,265,1467,1,997,0,2,
Intel Pentium III Mobile 1066MHz,265,1468,1,797,1066,4,
Intel Celeron 1200MHz,265,1469,1,901,1200,54,
Intel Atom Z670 @ 1.50GHz,264,1470,2,1480,1500,18,
AMD Geode NX,264,1471,1,1397,-1,2,
Mobile Intel Pentium 4 2.40GHz,264,1472,1,2327,2400,12,
Intel Pentium M 1100MHz,262,1473,1,719,1100,17,
VIA C7-M 1600MHz,262,1474,1,1595,1600,11,
Intel Pentium III Mobile 1133MHz,261,1475,1,888,1133,22,
Intel Celeron 1066MHz,260,1476,1,886,1066,6,
Mobile AMD Athlon XP-M 1600+,259,1477,1,1398,1400,6,
Intel Celeron 2.13GHz,258,1478,1,2121,2130,76,
Intel Celeron 1000MHz,258,1479,1,446,1000,14,
Intel SU1300 @ 1.06GHz,257,1480,1,1002,1060,15,
Mobile Intel Pentium 4 - M 2.50GHz,256,1481,1,2497,2500,5,
Intel Celeron 2.20GHz,256,1482,1,2198,2200,122,
Mobile Intel Pentium 4 - M 2.20GHz,255,1483,1,2026,2200,96,
Mobile Intel Celeron 2.20GHz,254,1484,1,2191,2200,42,
Intel Pentium III 1133MHz,254,1485,1,567,1133,2,
Mobile AMD Duron,252,1486,1,1173,-1,8,
AMD G-T44R,252,1487,1,1197,0,3,
Intel Pentium 4 Mobile 2.00GHz,250,1488,1,1927,2000,12,
Mobile Intel Pentium III - M 1000MHz,249,1489,1,870,1000,10,
Intel Atom Z520 @ 1.33GHz,248,1490,2,1238,1330,341,
Intel Pentium 4 2.00GHz,247,1491,1,2002,2000,900,
Intel Celeron 2.10GHz,244,1492,1,2104,2100,4,
AMD C-30,244,1493,1,1197,1200,12,
Intel Celeron 2.30GHz,244,1494,1,2292,2300,16,
Intel Pentium III Mobile 1000MHz,244,1495,1,815,1000,22,
Intel Pentium M 1000MHz,242,1496,1,655,1000,67,
Mobile Intel Celeron 2.00GHz,241,1497,1,1995,2000,39,
Mobile Intel Pentium 4 - M 2.00GHz,240,1498,1,1834,2000,130,
Intel Celeron 1100MHz,239,1499,1,510,1100,14,
Intel Pentium 4 Mobile 1.90GHz,237,1500,1,1694,1900,7,
Intel Celeron M 1.00GHz,233,1501,1,831,1000,12,
Intel Celeron 2.00GHz,233,1502,1,2000,2000,304,
Intel Atom N435 @ 1.33GHz,233,1503,2,1200,1330,5,
Mobile Intel Pentium 4 - M 1.90GHz,230,1504,1,1641,1900,11,
Intel Pentium 4 1.90GHz,229,1505,1,1896,1900,50,
AMD Athlon MP,228,1506,1,1097,-1,17,
Intel Celeron M 900MHz,228,1507,1,587,900,183,
Mobile Intel Pentium III - M 933MHz,227,1508,1,743,933,10,
Intel Pentium M 900MHz,226,1509,1,807,900,10,
Intel Pentium 4 Mobile 1.80GHz,223,1510,1,1716,1800,23,
Mobile Intel Pentium 4 - M 1.80GHz,222,1511,1,1661,1800,104,
Intel Pentium III Mobile 933MHz,221,1512,1,709,933,6,
Intel Atom Z515 @ 1.20GHz,218,1513,2,1199,1200,6,
Intel Pentium 4 1.80GHz,217,1514,1,1800,1800,601,
Intel Pentium III Mobile 866MHz,214,1515,1,305,866,5,
